Designator,Mid X,Mid Y,Rotation,Layer
C201,29.0828,20.4472,180.0,top
C202,43.9418,32.1312,90.0,top
C203,42.0368,28.7022,0.0,top
C204,42.0368,29.7182,0.0,top
C205,36.0678,35.0522,90.0,top
C206,37.3378,29.7182,180.0,top
C207,38.0198,16.7642,0.0,top
C209,42.9258,25.8952,270.0,top
C210,39.8778,23.2412,0.0,top
C211,18.7958,37.0842,270.0,top
C212,21.3358,37.0842,270.0,top
C213,23.875799,37.0842,270.0,top
C214,26.4158,37.0842,270.0,top
C215,23.8758,30.2262,0.0,top
C217,6.6038,7.6202,180.0,top
J104,18.796,45.72,90.0,top
J106,27.94,2.54,90.0,top
J107,40.64,45.72,90.0,top
J110,50.8,2.54,90.0,top
J111,18.7958,41.5292,90.0,top
J201,7.1098,34.0322,90.0,top
L201,39.3698,13.4622,90.0,top
R201,26.4068,20.4632,180.0,top
R202,26.4068,18.1772,180.0,top
R203,26.4158,25.0192,180.0,top
R204,26.4068,22.7492,180.0,top
R206,48.2344,30.2008,180.0,top
R207,48.2344,28.2958,180.0,top
R208,48.2344,34.0108,180.0,top
R209,48.2344,35.9158,180.0,top
R210,48.2344,37.8208,180.0,top
R211,53.3398,40.6402,90.0,top
R212,50.7998,40.6402,90.0,top
R214,48.2344,32.1058,0.0,top
R215,55.8798,40.6402,90.0,top
R216,35.5598,31.3692,0.0,top
R217,33.5278,31.3692,0.0,top
R219,60.0708,40.6402,0.0,top
R220,33.7818,42.9262,0.0,top
R222,19.0498,26.1622,0.0,top
R223,30.6068,42.9262,0.0,top
R224,18.7958,33.0202,270.0,top
R225,21.3358,33.0202,270.0,top
R226,23.875799,33.0202,270.0,top
R227,26.4158,33.0202,270.0,top
TR201,10.0328,15.3672,0.0,top
U201,22.7328,21.2092,270.0,top
U202,39.3698,33.0202,90.0,top
Y201,39.8778,25.9082,180.0,top
